listing_id|property_type|city|region|price|created_at|updated_at|agent_id
L1001|apartment|Bucuresti|BUCURESTI-ILFOV|450000|2025-01-01 09:10:00|2025-01-01 09:10:00|AG01
L1002|house|Voluntari|BUCURESTI-ILFOV|780000|2025-01-01 09:30:00|2025-01-01 09:30:00|AG01
L1003|apartment|Cluj-Napoca|NORD-VEST|320000|2025-01-01 10:00:00|2025-01-01 10:00:00|AG02
L1004|house|Oradea|NORD-VEST|410000|2025-01-01 10:20:00|2025-01-01 10:20:00|AG03
L1005|apartment|Iasi|NORD-EST|210000|2025-01-01 11:00:00|2025-01-01 11:00:00|AG04
L1006|apartment|Brasov|CENTRU|295000|2025-01-01 11:30:00|2025-01-01 11:30:00|AG05
L1007|house|Sibiu|CENTRU|380000|2025-01-01 12:00:00|2025-01-01 12:00:00|AG05
L1008|apartment|Timisoara|VEST|260000|2025-01-01 12:30:00|2025-01-01 12:30:00|AG06
L1009|house|Craiova|SUD-VEST OLTENIA|240000|2025-01-01 13:00:00|2025-01-01 13:00:00|AG07
L1010|apartment|Constanta|SUD-EST|275000|2025-01-01 13:30:00|2025-01-01 13:30:00|AG08
